name,city,state
Don Don Chinese Restaurant,Carnegie,PA
The Dragon Chinese Cuisine,Munhall,PA
Hunan Wok Chinese Restaurant,West Mifflin,PA
China Sea Chinese Restaurant,Bellevue,PA
Tasty Chinese Restaurant,Pittsburgh,PA
China Garden,Pittsburgh,PA
Jimmy Tsang's Chinese Restaurant,Pittsburgh,PA
Great Wall Chinese Food,Pittsburgh,PA
No 1 China House,Pittsburgh,PA
Hunan Wok Chinese Takeout,Pittsburgh,PA
China Taste,Pittsburgh,PA
Green Garden,Pittsburgh,PA
China House II,Swissvale,PA
Sichuan House Chinese Restaurant,Pittsburgh,PA
Liang's Hunan Restaurant,Pittsburgh,PA
Fu Lai Chinese Restaurant,Pittsburgh,PA
China House,Pittsburgh,PA
The Tong Garden,Pittsburgh,PA
Sesame Inn Chinese Restaurant,Pittsburgh,PA
China Gate,Pittsburgh,PA
Castle Place,Pittsburgh,PA
China Village,Pittsburgh,PA
Silver Palace Chinese Restaurant,Pittsburgh,PA
Tai Pei,Pittsburgh,PA
New Dragon Chinese Restaurant,Delmont,PA
New China,Belmont,NC
Panda Chinese Restaurant,Matthews,NC
China Buffet,Pineville,NC
Soho Bistro,Charlotte,NC
China King,Charlotte,NC
Emperor Chinese Restaurant,Charlotte,NC
Wok Express Chinese Food,Charlotte,NC
Cherry House,Charlotte,NC
Fortune Cookie Chinese Restaurant,Charlotte,NC
Tung Hoy Restaurant,Charlotte,NC
Taipei South,Charlotte,NC
Baoding,Charlotte,NC
Shanghai Restaurant,Charlotte,NC
Chin Chin,Charlotte,NC
Wok Bo Chinese Restaurant,Charlotte,NC
China Town,Charlotte,NC
Tung's Chinese Restaurant,Charlotte,NC
Wan Fu,Charlotte,NC
Quick Wok,Charlotte,NC
Lotus II Chinese Cuisine,Charlotte,NC
Lotus Buffet,Charlotte,NC
Best Wok,Charlotte,NC
Yen's Chinese Restaurant,Charlotte,NC
China Town,Charlotte,NC
China II,Fort Mill,SC
Chang Jiang Chinese Kitchen,De Forest,WI
Main Moon Chinese Restaurant,Mc Farland,WI
Imperial Garden,Middleton,WI
China Wok Buffet,Middleton,WI
Chin's Asia Fresh,Middleton,WI
Grand China Restaurant,Middleton,WI
Panda Garden,Sun Prairie,WI
Chang Jiang,Sun Prairie,WI
Peking Chinese Restaurant,Sun Prairie,WI
Flaming Wok,Madison,WI
China Wok,Madison,WI
Happy Wok,Madison,WI
Chang Jiang,Madison,WI
Wong's Garden,Madison,WI
Imperial Garden Chinese Restaurant,Madison,WI
China Inn,Madison,WI
Taste of China,Monona,WI
First Wok,Urbana,IL
Empire Chinese Restaurant,Champaign,IL
Mandarin Wok,Champaign,IL
Home of Gourmet Chinese & Thai Restaurant,Champaign,IL
Peking Garden Restaurant,Champaign,IL
Number One Wok,Champaign,IL
Rainbow Garden,Champaign,IL
Fate 905,Phoenix,AZ
Gourmet House of HongKong,Phoenix,AZ
COFCO Chinese Culture Center,Phoenix,AZ
Lao Ching Hing,Phoenix,AZ
Szechwan Palace,Phoenix,AZ
Canton Wong,Phoenix,AZ
China Chili,Phoenix,AZ
Crown China Super Buffet,Phoenix,AZ
Imperial Garden Chinese Buffett,Phoenix,AZ
Long Wong's Restaurant,Phoenix,AZ
New HongKong,Phoenix,AZ
China Village,Phoenix,AZ
Desert Jade,Phoenix,AZ
Golden Coin,Phoenix,AZ
Little Shanghai,Phoenix,AZ
Super Dragon,Phoenix,AZ
China Super Buffet,Phoenix,AZ
Bamboo China Restaurant,Phoenix,AZ
Flamingo Palace,Phoenix,AZ
Pick Up Stix,Phoenix,AZ
Bamboo House,Phoenix,AZ
New North China,Phoenix,AZ
Dragon Bowl,Phoenix,AZ
Little Peking,Phoenix,AZ
Pick Up Stix,Phoenix,AZ
A A Wok,Phoenix,AZ
Golden Wok Chinese Restaurant,Phoenix,AZ
Go Go China,Phoenix,AZ
Golden Bowl Chinese Food,Phoenix,AZ
Lim's Chinese Buffet,Phoenix,AZ
Dragon Palace,Phoenix,AZ
Yunan Wok,Phoenix,AZ
Wang Express,Phoenix,AZ
Wong's Chinese Dining,Phoenix,AZ
